Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 9:59:16 PM,0.0044557024,44952.48
4/28/2025 9:59:16 PM,0.0044557024,45938.223
4/28/2025 9:59:16 PM,0.004457228,50150.855
4/28/2025 9:59:16 PM,0.004457229,49434.805
4/28/2025 9:59:16 PM,0.004457228,54428.887
4/28/2025 9:59:16 PM,0.0049027987,39032.477
4/28/2025 9:59:16 PM,0.004901273,40701.594
4/28/2025 9:59:16 PM,0.0049012727,38811.777
4/28/2025 9:59:16 PM,0.005346843,53000.13
4/28/2025 9:59:16 PM,0.004901273,38124.438
4/28/2025 9:59:16 PM,0.005346843,59895.84
4/28/2025 9:59:16 PM,0.004901273,40607.797
4/28/2025 9:59:16 PM,0.004901273,39162.918
4/28/2025 9:59:16 PM,0.0044557024,56597.797
4/28/2025 9:59:16 PM,0.0053483685,52784.457
4/28/2025 9:59:16 PM,0.0049027987,38532.06
4/28/2025 9:59:16 PM,0.004457228,53130.6
4/28/2025 9:59:16 PM,0.0049027978,39738.15
4/28/2025 9:59:16 PM,0.004901273,39534.1
4/28/2025 9:59:16 PM,0.0044557033,47336.332
4/28/2025 9:59:16 PM,0.0044557033,48138.64
4/28/2025 9:59:17 PM,0.004901273,39763.625
4/28/2025 9:59:17 PM,0.004901273,39233.08
4/28/2025 9:59:17 PM,0.005346843,53050.926
4/28/2025 9:59:17 PM,0.0049012727,39763.625
4/28/2025 9:59:17 PM,0.005346843,56405.766
4/28/2025 9:59:17 PM,0.005346843,60265.566
4/28/2025 9:59:17 PM,0.0049012727,38942.37
4/28/2025 9:59:17 PM,0.004901273,40169.414
4/28/2025 9:59:17 PM,0.004901273,43658.676
4/28/2025 9:59:20 PM,0.03342082,10653.865
4/28/2025 9:59:20 PM,0.03386639,10787.682
4/28/2025 9:59:20 PM,0.03431196,10901.163
4/28/2025 9:59:20 PM,0.03431196,10996.416
4/28/2025 9:59:20 PM,0.034757532,11104.975
4/28/2025 9:59:20 PM,0.035203103,11221.369
4/28/2025 9:59:20 PM,0.035203103,11373.519
4/28/2025 9:59:20 PM,0.03609424,11505.297
4/28/2025 9:59:20 PM,0.035203103,11603.223
4/28/2025 9:59:20 PM,0.03609424,11702.608
4/28/2025 9:59:21 PM,0.036539815,11826.4
4/28/2025 9:59:21 PM,0.03609424,11901.305
4/28/2025 9:59:21 PM,0.03609424,12019.23
4/28/2025 9:59:21 PM,0.036539815,12145.863
4/28/2025 9:59:21 PM,0.036985382,12238.64
4/28/2025 9:59:21 PM,0.03653981,12360.914
4/28/2025 9:59:21 PM,0.03653981,12458.204
4/28/2025 9:59:21 PM,0.036985382,12555.444
4/28/2025 9:59:21 PM,0.036985382,12685.244
4/28/2025 9:59:21 PM,0.036985382,12782.628
4/28/2025 9:59:21 PM,0.036985382,12886.598
4/28/2025 9:59:21 PM,0.036985382,12990.622
