Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 4:55:12 PM,0.013275551,84316.19
4/28/2025 4:55:12 PM,0.008850368,293.7582
4/28/2025 4:55:12 PM,0.004425184,78538.36
4/28/2025 4:55:12 PM,0.004425184,96767.22
4/28/2025 4:55:12 PM,0.008850368,156.84602
4/28/2025 4:55:12 PM,0.008850368,979.01
4/28/2025 4:55:12 PM,0.008850368,1128.3624
4/28/2025 4:55:12 PM,0.008850368,1056.6952
4/28/2025 4:55:12 PM,0.008850368,535.46954
4/28/2025 4:55:12 PM,0.008850368,610.6696
4/28/2025 4:55:12 PM,0.008850368,1496.9082
4/28/2025 4:55:12 PM,0.008850368,781.05475
4/28/2025 4:55:12 PM,0.008850368,799.29114
4/28/2025 4:55:12 PM,0.008850368,1069.1802
4/28/2025 4:55:12 PM,0.008850368,661.79584
4/28/2025 4:55:12 PM,0.008850368,831.49615
4/28/2025 4:55:12 PM,0.008850368,1454.5955
4/28/2025 4:55:12 PM,0.008850368,582.3705
4/28/2025 4:55:12 PM,0.008850368,1308.3829
4/28/2025 4:55:12 PM,0.008850368,995.06445
4/28/2025 4:55:12 PM,0.008850368,452.11224
4/28/2025 4:55:13 PM,0.008850368,334.58246
4/28/2025 4:55:13 PM,0.008850368,328.02658
4/28/2025 4:55:13 PM,0.004425184,78525.125
4/28/2025 4:55:13 PM,0.008850368,1029.315
4/28/2025 4:55:13 PM,0.004425184,79586.586
4/28/2025 4:55:13 PM,0.004425184,102798.69
4/28/2025 4:55:13 PM,0.008850368,1515.5188
4/28/2025 4:55:13 PM,0.004425184,94241.875
4/28/2025 4:55:13 PM,0.004425184,105595.984
4/28/2025 4:55:13 PM,0.008850368,107.98203
4/28/2025 4:55:13 PM,0.004425184,79915.34
4/28/2025 4:55:13 PM,0.004425184,78064.95
4/28/2025 4:55:13 PM,0.008850368,250.64165
4/28/2025 4:55:13 PM,0.008850368,14204.531
4/28/2025 4:55:13 PM,0.008850368,242.13544
4/28/2025 4:55:13 PM,0.008850368,325.0468
4/28/2025 4:55:13 PM,0.008850368,628.267
4/28/2025 4:55:13 PM,0.008850368,641.10455
4/28/2025 4:55:13 PM,0.013275551,43954.723
4/28/2025 4:55:13 PM,0.008850368,996.9162
4/28/2025 4:55:13 PM,0.008850368,1244.9298
4/28/2025 4:55:13 PM,0.008850368,737.7243
4/28/2025 4:55:13 PM,0.008850368,751.5633
4/28/2025 4:55:13 PM,0.008850368,507.88232
4/28/2025 4:55:13 PM,0.008850368,567.43896
4/28/2025 4:55:13 PM,0.008850368,1240.6702
4/28/2025 4:55:13 PM,0.008850368,415.77966
