(us);(V)

-25.02770076;5.12955093
-25.01770076;5.04104757
-25.00770076;5.12955093
-24.99770076;5.12955093
-24.98770076;5.12955093
-24.97770076;5.21805477
-24.96770076;5.04104757
-24.95770076;5.04104757
-24.94770076;5.12955093
-24.93770076;5.21805477
-24.92770076;5.12955093
-24.91770076;5.12955093
-24.90770076;5.12955093
-24.89770076;5.04104757
-24.88770076;5.04104757
-24.87770076;5.21805477
-24.86770076;5.12955093
-24.85770076;5.12955093
-24.84770076;5.12955093
-24.83770076;5.04104757
-24.82770076;5.04104757
-24.81770076;5.21805477
-24.80770076;5.12955093
-24.79770076;5.12955093
-24.78770076;5.12955093
-24.77770076;5.04104757
-24.76770076;5.04104757
-24.75770076;5.12955093
-24.74770076;5.12955093
-24.73770076;5.12955093
-24.72770076;5.12955093
-24.71770076;5.04104757
-24.70770076;5.12955093
-24.69770076;5.12955093
-24.68770076;5.12955093
-24.67770076;5.12955093
-24.66770076;5.12955093
-24.65770076;5.12955093
-24.64770076;5.12955093
-24.63770076;5.04104757
-24.62770076;5.12955093
-24.61770076;5.12955093
-24.60770076;5.12955093
-24.59770076;5.12955093
-24.58770076;5.12955093
-24.57770076;5.04104757
-24.56770076;5.12955093
-24.55770076;5.21805477
-24.54770076;5.12955093
-24.53770076;5.12955093
-24.52770076;5.04104757
-24.51770076;5.12955093
-24.50770076;5.12955093
-24.49770076;5.12955093
-24.48770076;5.12955093
-24.47770076;5.12955093
-24.46770076;5.12955093
-24.45770076;5.12955093
-24.44770076;5.12955093
-24.43770076;5.21805477
-24.42770076;5.12955093
-24.41770076;5.12955093
-24.40770076;5.04104757
-24.39770076;5.12955093
-24.38770076;5.04104757
-24.37770076;5.12955093
-24.36770076;5.12955093
-24.35770076;5.12955093
-24.34770076;5.12955093
-24.33770076;5.12955093
-24.32770076;5.04104757
-24.31770076;5.12955093
-24.30770076;5.12955093
-24.29770076;5.12955093
-24.28770076;5.12955093
-24.27770076;5.04104757
-24.26770076;5.04104757
-24.25770076;5.12955093
-24.24770076;5.12955093
-24.23770076;5.12955093
-24.22770076;5.12955093
-24.21770076;5.04104757
-24.20770076;5.04104757
-24.19770076;5.12955093
-24.18770076;5.21805477
-24.17770076;5.12955093
-24.16770076;5.12955093
-24.15770076;5.12955093
-24.14770076;5.12955093
-24.13770076;5.04104757
-24.12770076;5.12955093
-24.11770076;5.12955093
-24.10770076;5.12955093
-24.09770076;5.12955093
-24.08770076;5.04104757
-24.07770076;5.12955093
-24.06770076;5.12955093
-24.05770076;5.12955093
-24.04770076;5.12955093
-24.03770076;5.12955093
-24.02770076;5.12955093
-24.01770076;5.12955093
-24.00770076;5.12955093
-23.99770076;5.12955093
-23.98770076;5.12955093
-23.97770076;5.12955093
-23.96770076;5.04104757
-23.95770076;5.12955093
-23.94770076;5.12955093
-23.93770076;5.21805477
-23.92770076;5.12955093
-23.91770076;5.12955093
-23.90770076;5.12955093
-23.89770076;5.04104757
-23.88770077;5.04104757
-23.87770077;5.12955093
-23.86770077;5.21805477
-23.85770077;5.12955093
-23.84770077;5.12955093
-23.83770077;5.04104757
-23.82770077;5.04104757
-23.81770077;5.21805477
-23.80770077;5.12955093
-23.79770077;5.12955093
-23.78770077;5.12955093
-23.77770077;5.04104757
-23.76770077;5.12955093
-23.75770077;5.12955093
-23.74770077;5.12955093
-23.73770077;5.12955093
-23.72770077;5.12955093
-23.71770077;5.04104757
-23.70770077;5.12955093
-23.69770077;5.12955093
-23.68770077;5.21805477
-23.67770077;5.12955093
-23.66770077;5.12955093
-23.65770077;5.12955093
-23.64770077;5.12955093
-23.63770077;5.12955093
-23.62770077;5.21805477
-23.61770077;5.12955093
-23.60770077;5.04104757
-23.59770077;5.12955093
-23.58770077;5.12955093
-23.57770077;5.04104757
-23.56770077;5.12955093
-23.55770077;5.12955093
-23.54770077;5.12955093
-23.53770077;5.21805477
-23.52770077;5.12955093
-23.51770077;5.04104757
-23.50770077;5.12955093
-23.49770077;5.12955093
-23.48770077;5.12955093
-23.47770077;5.12955093
-23.46770077;5.04104757
-23.45770077;5.04104757
-23.44770077;5.12955093
-23.43770077;5.12955093
-23.42770077;5.12955093
-23.41770077;5.12955093
-23.40770077;5.12955093
-23.39770077;5.12955093
-23.38770077;5.12955093
-23.37770077;5.21805477
-23.36770077;5.12955093
-23.35770077;5.12955093
-23.34770077;5.12955093
-23.33770077;5.12955093
-23.32770077;5.04104757
-23.31770077;5.21805477
-23.30770077;5.12955093
-23.29770077;5.12955093
-23.28770077;5.12955093
-23.27770077;5.12955093
-23.26770077;5.04104757
-23.25770077;5.12955093
-23.24770077;5.12955093
-23.23770077;5.12955093
-23.22770077;5.12955093
-23.21770077;5.12955093
-23.20770077;5.04104757
-23.19770077;5.12955093
-23.18770077;5.21805477
-23.17770077;5.12955093
-23.16770077;5.12955093
-23.15770077;5.12955093
-23.14770077;5.04104757
-23.13770077;5.04104757
-23.12770077;5.21805477
-23.11770077;5.12955093
-23.10770077;5.12955093
-23.09770077;5.12955093
-23.08770077;5.12955093
-23.07770077;5.12955093
-23.06770077;5.12955093
-23.05770077;5.21805477
-23.04770077;5.04104757
-23.03770077;5.12955093
-23.02770077;5.12955093
-23.01770077;5.04104757
-23.00770077;5.12955093
-22.99770077;5.12955093
-22.98770077;5.21805477
-22.97770077;5.12955093
-22.96770077;5.12955093
-22.95770077;5.04104757
-22.94770077;5.12955093
-22.93770077;5.12955093
-22.92770077;5.12955093
-22.91770077;5.12955093
-22.90770077;5.12955093
-22.89770077;5.12955093
-22.88770077;5.12955093
-22.87770077;5.21805477
-22.86770077;5.12955093
-22.85770077;5.12955093
-22.84770077;5.12955093
-22.83770077;5.12955093
-22.82770077;5.04104757
-22.81770077;5.12955093
-22.80770077;5.12955093
-22.79770077;5.12955093
-22.78770077;5.12955093
-22.77770077;5.12955093
-22.76770077;5.04104757
-22.75770077;5.21805477
-22.74770077;5.12955093
-22.73770077;5.12955093
-22.72770077;5.12955093
-22.71770077;5.12955093
-22.70770077;5.12955093
-22.69770077;5.12955093
-22.68770077;5.12955093
-22.67770077;5.12955093
-22.66770077;5.12955093
-22.65770077;5.12955093
-22.64770077;5.12955093
-22.63770077;5.04104757
-22.62770077;5.21805477
-22.61770077;5.12955093
-22.60770077;5.12955093
-22.59770077;5.12955093
-22.58770077;5.04104757
-22.57770077;4.95254374
-22.56770077;5.12955093
-22.55770077;5.12955093
-22.54770077;5.12955093
-22.53770077;5.12955093
-22.52770077;5.04104757
-22.51770077;5.04104757
-22.50770077;5.12955093
-22.49770077;5.21805477
-22.48770077;5.12955093
-22.47770077;5.12955093
-22.46770077;5.12955093
-22.45770077;5.04104757
-22.44770077;5.12955093
-22.43770077;5.12955093
-22.42770077;5.21805477
-22.41770077;5.12955093
-22.40770077;5.12955093
-22.39770077;5.12955093
-22.38770077;5.04104757
-22.37770077;5.12955093
-22.36770077;5.12955093
-22.35770077;5.12955093
-22.34770077;5.12955093
-22.33770077;5.04104757
-22.32770077;5.04104757
-22.31770077;5.12955093
-22.30770077;5.12955093
-22.29770077;5.12955093
-22.28770077;5.12955093
-22.27770077;5.04104757
-22.26770077;5.04104757
-22.25770077;5.12955093
-22.24770077;5.12955093
-22.23770078;5.12955093
-22.22770078;5.12955093
-22.21770078;5.04104757
-22.20770078;5.04104757
-22.19770078;5.12955093
-22.18770078;5.12955093
-22.17770078;5.12955093
-22.16770078;5.12955093
-22.15770078;5.04104757
-22.14770078;5.04104757
-22.13770078;5.04104757
-22.12770078;5.21805477
-22.11770078;5.12955093
-22.10770078;5.12955093
-22.09770078;5.12955093
-22.08770078;5.04104757
-22.07770078;5.04104757
-22.06770078;5.12955093
-22.05770078;5.12955093
-22.04770078;5.12955093
-22.03770078;5.12955093
-22.02770078;5.04104757
-22.01770078;5.04104757
-22.00770078;5.12955093
-21.99770078;5.12955093
-21.98770078;5.12955093
-21.97770078;5.12955093
-21.96770078;5.04104757
-21.95770078;5.04104757
-21.94770078;5.04104757
-21.93770078;5.21805477
-21.92770078;5.12955093
-21.91770078;5.12955093
-21.90770078;5.04104757
-21.89770078;5.04104757
-21.88770078;5.04104757
-21.87770078;5.21805477
-21.86770078;5.12955093
-21.85770078;5.12955093
-21.84770078;5.12955093
-21.83770078;5.04104757
-21.82770078;5.04104757
-21.81770078;5.21805477
-21.80770078;5.12955093
-21.79770078;5.12955093
-21.78770078;5.12955093
-21.77770078;5.04104757
-21.76770078;5.04104757
-21.75770078;5.12955093
-21.74770078;5.12955093
-21.73770078;5.12955093
-21.72770078;5.12955093
-21.71770078;5.12955093
-21.70770078;5.04104757
-21.69770078;5.04104757
-21.68770078;5.21805477
-21.67770078;5.12955093
-21.66770078;5.21805477
-21.65770078;5.04104757
-21.64770078;5.04104757
-21.63770078;5.04104757
-21.62770078;5.21805477
-21.61770078;5.21805477
-21.60770078;5.04104757
-21.59770078;5.04104757
-21.58770078;5.04104757
-21.57770078;5.12955093
-21.56770078;5.21805477
-21.55770078;5.12955093
-21.54770078;5.04104757
-21.53770078;5.12955093
-21.52770078;5.04104757
-21.51770078;5.04104757
-21.50770078;5.12955093
-21.49770078;5.12955093
-21.48770078;5.12955093
-21.47770078;5.12955093
-21.46770078;5.04104757
-21.45770078;4.95254374
-21.44770078;5.04104757
-21.43770078;5.21805477
-21.42770078;5.21805477
-21.41770078;5.12955093
-21.40770078;5.04104757
-21.39770078;4.95254374
-21.38770078;5.12955093
-21.37770078;5.21805477
-21.36770078;5.21805477
-21.35770078;5.12955093
-21.34770078;5.12955093
-21.33770078;5.12955093
-21.32770078;5.04104757
-21.31770078;5.12955093
-21.30770078;5.12955093
-21.29770078;5.12955093
-21.28770078;5.12955093
-21.27770078;5.04104757
-21.26770078;5.04104757
-21.25770078;5.12955093
-21.24770078;5.21805477
-21.23770078;5.12955093
-21.22770078;5.12955093
-21.21770078;5.12955093
-21.20770078;5.12955093
-21.19770078;5.12955093
-21.18770078;5.21805477
-21.17770078;5.12955093
-21.16770078;5.12955093
-21.15770078;5.12955093
-21.14770078;5.04104757
-21.13770078;5.04104757
-21.12770078;5.12955093
-21.11770078;5.12955093
-21.10770078;5.12955093
-21.09770078;5.12955093
-21.08770078;5.12955093
-21.07770078;5.04104757
-21.06770078;5.12955093
-21.05770078;5.12955093
-21.04770078;5.12955093
-21.03770078;5.12955093
-21.02770078;5.04104757
-21.01770078;5.04104757
-21.00770078;5.12955093
-20.99770078;5.21805477
-20.98770078;5.12955093
-20.97770078;5.12955093
-20.96770078;5.12955093
-20.95770078;5.04104757
-20.94770078;5.12955093
-20.93770078;5.12955093
-20.92770078;5.12955093
-20.91770078;5.12955093
-20.90770078;5.12955093
-20.89770078;5.12955093
-20.88770078;5.04104757
-20.87770078;5.21805477
-20.86770078;5.12955093
-20.85770078;5.12955093
-20.84770078;5.12955093
-20.83770078;5.12955093
-20.82770078;5.04104757
-20.81770078;5.12955093
-20.80770078;5.12955093
-20.79770078;5.12955093
-20.78770078;5.12955093
-20.77770078;5.12955093
-20.76770078;5.04104757
-20.75770078;5.12955093
-20.74770078;5.21805477
-20.73770078;5.12955093
-20.72770078;5.12955093
-20.71770078;5.12955093
-20.70770078;5.04104757
-20.69770078;5.04104757
-20.68770078;5.21805477
-20.67770078;5.12955093
-20.66770078;5.12955093
-20.65770078;5.12955093
-20.64770078;5.12955093
-20.63770078;5.12955093
-20.62770078;5.21805477
-20.61770078;5.12955093
-20.60770078;5.12955093
-20.59770078;5.12955093
-20.58770079;5.12955093
-20.57770079;5.04104757
-20.56770079;5.12955093
-20.55770079;5.21805477
-20.54770079;5.12955093
-20.53770079;5.12955093
-20.52770079;5.12955093
-20.51770079;5.04104757
-20.50770079;5.21805477
-20.49770079;5.12955093
-20.48770079;5.12955093
-20.47770079;5.12955093
-20.46770079;5.04104757
-20.45770079;5.04104757
-20.44770079;5.12955093
-20.43770079;5.12955093
-20.42770079;5.12955093
-20.41770079;5.12955093
-20.40770079;5.12955093
-20.39770079;5.04104757
-20.38770079;5.12955093
-20.37770079;5.21805477
-20.36770079;5.12955093
-20.35770079;5.12955093
-20.34770079;5.12955093
-20.33770079;5.12955093
-20.32770079;5.04104757
-20.31770079;5.12955093
-20.30770079;5.12955093
-20.29770079;5.12955093
-20.28770079;5.12955093
-20.27770079;5.04104757
-20.26770079;5.04104757
-20.25770079;5.12955093
-20.24770079;5.21805477
-20.23770079;5.21805477
-20.22770079;5.12955093
-20.21770079;5.04104757
-20.20770079;5.04104757
-20.19770079;5.12955093
-20.18770079;5.12955093
-20.17770079;5.12955093
-20.16770079;5.12955093
-20.15770079;5.12955093
-20.14770079;5.12955093
-20.13770079;5.04104757
-20.12770079;5.21805477
-20.11770079;5.12955093
-20.10770079;5.04104757
-20.09770079;5.12955093
-20.08770079;5.04104757
-20.07770079;5.04104757
-20.06770079;5.21805477
-20.05770079;5.12955093
-20.04770079;5.12955093
-20.03770079;5.12955093
-20.02770079;5.12955093
-20.01770079;5.04104757
-20.00770079;5.12955093
-19.99770079;5.12955093
-19.98770079;5.12955093
-19.97770079;5.12955093
-19.96770079;5.12955093
-19.95770079;5.04104757
-19.94770079;5.04104757
-19.93770079;5.12955093
-19.92770079;5.12955093
-19.91770079;5.21805477
-19.90770079;5.12955093
-19.89770079;5.04104757
-19.88770079;5.04104757
-19.87770079;5.21805477
-19.86770079;5.12955093
-19.85770079;5.12955093
-19.84770079;5.12955093
-19.83770079;5.12955093
-19.82770079;5.04104757
-19.81770079;5.12955093
-19.80770079;5.12955093
-19.79770079;5.12955093
-19.78770079;5.12955093
-19.77770079;5.12955093
-19.76770079;5.04104757
-19.75770079;5.12955093
-19.74770079;5.12955093
-19.73770079;5.12955093
-19.72770079;5.12955093
-19.71770079;5.04104757
-19.70770079;5.12955093
-19.69770079;5.04104757
-19.68770079;5.12955093
-19.67770079;5.12955093
-19.66770079;5.12955093
-19.65770079;5.12955093
-19.64770079;5.04104757
-19.63770079;5.04104757
-19.62770079;5.12955093
-19.61770079;5.12955093
-19.60770079;5.12955093
-19.59770079;5.12955093
-19.58770079;5.04104757
-19.57770079;5.04104757
-19.56770079;5.21805477
-19.55770079;5.12955093
-19.54770079;5.12955093
-19.53770079;5.12955093
-19.52770079;5.04104757
-19.51770079;5.04104757
-19.50770079;5.12955093
-19.49770079;5.12955093
-19.48770079;5.12955093
-19.47770079;5.12955093
-19.46770079;5.12955093
-19.45770079;5.04104757
-19.44770079;5.12955093
-19.43770079;5.12955093
-19.42770079;5.12955093
-19.41770079;5.12955093
-19.40770079;5.12955093
-19.39770079;5.12955093
-19.38770079;5.12955093
-19.37770079;5.12955093
-19.36770079;5.12955093
-19.35770079;5.12955093
-19.34770079;5.12955093
-19.33770079;5.12955093
-19.32770079;5.04104757
-19.31770079;5.21805477
-19.30770079;5.12955093
-19.29770079;5.12955093
-19.28770079;5.12955093
-19.27770079;5.04104757
-19.26770079;5.04104757
-19.25770079;5.12955093
-19.24770079;5.12955093
-19.23770079;5.12955093
-19.22770079;5.12955093
-19.21770079;5.12955093
-19.20770079;5.12955093
-19.19770079;5.12955093
-19.18770079;5.12955093
-19.17770079;5.12955093
-19.16770079;5.12955093
-19.15770079;5.12955093
-19.14770079;5.04104757
-19.13770079;5.04104757
-19.12770079;5.21805477
-19.11770079;5.12955093
-19.10770079;5.12955093
-19.09770079;5.04104757
-19.08770079;5.12955093
-19.07770079;4.95254374
-19.06770079;5.21805477
-19.05770079;5.12955093
-19.04770079;5.12955093
-19.03770079;5.12955093
-19.02770079;5.04104757
-19.01770079;4.95254374
-19.00770079;5.12955093
-18.99770079;5.21805477
-18.98770079;5.12955093
-18.97770079;5.12955093
-18.96770079;5.04104757
-18.95770079;5.12955093
-18.94770080;5.12955093
-18.93770080;5.12955093
-18.92770080;5.12955093
-18.91770080;5.12955093
-18.90770080;5.04104757
-18.89770080;5.12955093
-18.88770080;5.04104757
-18.87770080;5.21805477
-18.86770080;5.21805477
-18.85770080;5.12955093
-18.84770080;5.12955093
-18.83770080;5.04104757
-18.82770080;5.04104757
-18.81770080;5.21805477
-18.80770080;5.12955093
-18.79770080;5.12955093
-18.78770080;5.21805477
-18.77770080;5.04104757
-18.76770080;5.04104757
-18.75770080;5.12955093
-18.74770080;5.12955093
-18.73770080;5.12955093
-18.72770080;5.12955093
-18.71770080;5.04104757
-18.70770080;5.04104757
-18.69770080;5.12955093
-18.68770080;5.12955093
-18.67770080;5.12955093
-18.66770080;5.12955093
-18.65770080;5.12955093
-18.64770080;5.04104757
-18.63770080;5.04104757
-18.62770080;5.21805477
-18.61770080;5.12955093
-18.60770080;5.12955093
-18.59770080;5.12955093
-18.58770080;5.04104757
-18.57770080;5.04104757
-18.56770080;5.21805477
-18.55770080;5.12955093
-18.54770080;5.12955093
-18.53770080;5.12955093
-18.52770080;5.12955093
-18.51770080;5.04104757
-18.50770080;5.12955093
-18.49770080;5.12955093
-18.48770080;5.12955093
-18.47770080;5.12955093
-18.46770080;5.12955093
-18.45770080;5.04104757
-18.44770080;5.04104757
-18.43770080;5.21805477
-18.42770080;5.12955093
-18.41770080;5.12955093
-18.40770080;5.12955093
-18.39770080;5.04104757
-18.38770080;5.04104757
-18.37770080;5.21805477
-18.36770080;5.21805477
-18.35770080;5.12955093
-18.34770080;5.12955093
-18.33770080;5.04104757
-18.32770080;5.04104757
-18.31770080;5.12955093
-18.30770080;5.21805477
-18.29770080;5.12955093
-18.28770080;5.12955093
-18.27770080;5.04104757
-18.26770080;5.04104757
-18.25770080;5.21805477
-18.24770080;5.12955093
-18.23770080;5.12955093
-18.22770080;5.12955093
-18.21770080;5.04104757
-18.20770080;5.12955093
-18.19770080;5.04104757
-18.18770080;5.12955093
-18.17770080;5.12955093
-18.16770080;5.12955093
-18.15770080;5.12955093
-18.14770080;5.04104757
-18.13770080;5.04104757
-18.12770080;5.12955093
-18.11770080;5.21805477
-18.10770080;5.21805477
-18.09770080;5.12955093
-18.08770080;5.04104757
-18.07770080;5.04104757
-18.06770080;5.21805477
-18.05770080;5.21805477
-18.04770080;5.12955093
-18.03770080;5.12955093
-18.02770080;5.04104757
-18.01770080;5.12955093
-18.00770080;5.12955093
-17.99770080;5.12955093
-17.98770080;5.12955093
-17.97770080;5.12955093
-17.96770080;5.12955093
-17.95770080;5.04104757
-17.94770080;5.12955093
-17.93770080;5.21805477
-17.92770080;5.12955093
-17.91770080;5.12955093
-17.90770080;5.12955093
-17.89770080;5.04104757
-17.88770080;5.04104757
-17.87770080;5.21805477
-17.86770080;5.12955093
-17.85770080;5.21805477
-17.84770080;5.12955093
-17.83770080;5.04104757
-17.82770080;5.04104757
-17.81770080;5.21805477
-17.80770080;5.12955093
-17.79770080;5.12955093
-17.78770080;5.12955093
-17.77770080;5.04104757
-17.76770080;5.04104757
-17.75770080;5.12955093
-17.74770080;5.12955093
-17.73770080;5.12955093
-17.72770080;5.12955093
-17.71770080;5.12955093
-17.70770080;5.04104757
-17.69770080;5.12955093
-17.68770080;5.12955093
-17.67770080;5.12955093
-17.66770080;5.12955093
-17.65770080;5.12955093
-17.64770080;5.12955093
-17.63770080;5.04104757
-17.62770080;5.21805477
-17.61770080;5.12955093
-17.60770080;5.12955093
-17.59770080;5.12955093
-17.58770080;5.12955093
-17.57770080;5.04104757
-17.56770080;5.12955093
-17.55770080;5.12955093
-17.54770080;5.12955093
-17.53770080;5.12955093
-17.52770080;5.12955093
-17.51770080;5.04104757
-17.50770080;5.12955093
-17.49770080;5.12955093
-17.48770080;5.12955093
-17.47770080;5.12955093
-17.46770080;5.12955093
-17.45770080;5.04104757
-17.44770080;5.12955093
-17.43770080;5.21805477
-17.42770080;5.12955093
-17.41770080;5.12955093
-17.40770080;5.12955093
-17.39770080;5.12955093
-17.38770080;5.12955093
-17.37770080;5.21805477
-17.36770080;5.12955093
-17.35770080;5.12955093
-17.34770080;5.12955093
-17.33770080;5.12955093
-17.32770080;5.04104757
-17.31770080;5.12955093
-17.30770080;5.12955093
-17.29770081;5.12955093
-17.28770081;5.21805477
-17.27770081;5.12955093
-17.26770081;5.04104757
-17.25770081;5.12955093
-17.24770081;5.12955093
-17.23770081;5.12955093
-17.22770081;5.12955093
-17.21770081;5.12955093
-17.20770081;5.12955093
-17.19770081;5.12955093
-17.18770081;5.21805477
-17.17770081;5.12955093
-17.16770081;5.12955093
-17.15770081;5.12955093
-17.14770081;5.12955093
-17.13770081;5.04104757
-17.12770081;5.21805477
-17.11770081;5.12955093
-17.10770081;5.21805477
-17.09770081;5.04104757
-17.08770081;5.04104757
-17.07770081;5.04104757
-17.06770081;5.12955093
-17.05770081;5.12955093
-17.04770081;5.12955093
-17.03770081;5.12955093
-17.02770081;5.04104757
-17.01770081;5.12955093
-17.00770081;5.12955093
-16.99770081;5.12955093
-16.98770081;5.12955093
-16.97770081;5.12955093
-16.96770081;5.12955093
-16.95770081;5.04104757
-16.94770081;5.04104757
-16.93770081;5.21805477
-16.92770081;5.21805477
-16.91770081;5.12955093
