Time,Channel 
(ms),(V)

-0.00173900,2.09967351
-0.00109900,1.92327642
-0.00045900,1.57048249
0.00018100,1.21829891
0.00082100,1.04190195
0.00146100,0.68971831
0.00210100,0.33692434
0.00274100,-0.01525925
0.00338100,-0.36744285
0.00402100,-0.72023684
0.00466100,-1.07242048
0.00530100,-1.42521441
0.00594100,-1.77739799
0.00658100,-1.95379496
0.00722100,-2.30597854
0.00786100,-2.65877247
0.00850100,-3.01095605
0.00914100,-3.18735313
0.00978100,-3.54014707
0.01042100,-3.89233065
0.01106100,-4.06872749
0.01170100,-4.42091131
0.01234100,-4.77370548
0.01298100,-4.95010233
0.01362100,-5.30228567
0.01426100,-5.47868299
0.01490100,-5.65507984
0.01554100,-6.00726318
0.01618100,-6.00726318
0.01682100,-6.36005735
0.01746100,-6.53584385
0.01810100,-6.71224117
0.01874100,-6.88863802
0.01938100,-7.06503487
0.02002100,-7.06503487
0.02066100,-7.24082136
0.02130100,-7.41721869
0.02194100,-7.41721869
0.02258100,-7.41721869
0.02322100,-7.59361553
0.02386100,-7.59361553
0.02450100,-7.77001238
0.02514100,-7.77001238
0.02578100,-7.77001238
0.02642100,-7.77001238
0.02706100,-7.77001238
0.02770100,-7.77001238
0.02834100,-7.77001238
0.02898100,-7.59361553
0.02962100,-7.59361553
0.03026100,-7.59361553
0.03090100,-7.41721869
0.03154100,-7.24082136
0.03218100,-7.24082136
0.03282100,-7.06503487
0.03346100,-6.88863802
0.03410100,-6.88863802
0.03474100,-6.71224117
0.03538100,-6.53584385
0.03602100,-6.53584385
0.03666100,-6.18366051
0.03730100,-6.00726318
0.03794100,-6.00726318
0.03858100,-5.83086634
0.03922100,-5.65507984
0.03986100,-5.30228567
0.04050100,-5.12588882
0.04114100,-5.12588882
0.04178100,-4.77370548
0.04242100,-4.59730816
0.04306100,-4.24512482
0.04370100,-4.06872749
0.04434100,-3.89233065
0.04498100,-3.71593380
0.04562100,-3.54014707
0.04626100,-3.36375022
0.04690100,-3.18735313
0.04754100,-3.01095605
0.04818100,-2.65877247
0.04882100,-2.48237562
0.04946100,-2.48237562
0.05010100,-2.30597854
0.05074100,-2.13019204
0.05138100,-1.95379496
0.05202100,-1.77739799
0.05266100,-1.60100102
0.05330100,-1.42521441
0.05394100,-1.24881744
0.05458100,-1.07242048
0.05522100,-1.07242048
0.05586100,-0.89602345
0.05650100,-0.89602345
0.05714100,-0.72023684
0.05778100,-0.72023684
0.05842100,-0.54383981
0.05906100,-0.54383981
0.05970100,-0.36744285
0.06034100,-0.36744285
0.06098100,-0.36744285
0.06162100,-0.36744285
0.06226100,-0.36744285
0.06290100,-0.36744285
0.06354100,-0.36744285
0.06418100,-0.36744285
0.06482100,-0.36744285
0.06546100,-0.36744285
0.06610100,-0.36744285
0.06674100,-0.54383981
0.06738100,-0.54383981
0.06802100,-0.72023684
0.06866100,-0.72023684
0.06930100,-0.89602345
0.06994100,-0.89602345
0.07058100,-0.89602345
0.07122100,-1.07242048
0.07186100,-1.24881744
0.07250100,-1.42521441
0.07314100,-1.42521441
0.07378100,-1.60100102
