Frequency,Channel A

0.00000000,-24.24078751
0.19073486,-31.10126877
0.38146973,-45.91898346
0.57220459,-51.36432648
0.76293945,-62.75519562
0.95367432,-51.15516663
1.14440918,-48.62293243
1.33514404,-49.82105637
1.52587891,-50.44710541
1.71661377,-52.41894531
1.90734863,-51.35043716
2.09808350,-48.70931625
2.28881836,-46.89997864
2.47955322,-47.35044479
2.67028809,-57.95442200
2.86102295,-51.16217804
3.05175781,-50.23654175
3.24249268,-42.80551529
3.43322754,-30.08996964
3.62396240,-9.40753841
3.81469727,-1.21800721
4.00543213,-1.28267050
4.19616699,-9.58493614
4.38690186,-13.48268032
4.57763672,-1.45943832
4.76837158,0.98076904
4.95910645,-4.39190626
5.14984131,-19.75663948
5.34057617,-44.56573486
5.53131104,-66.57137299
5.72204590,-52.21989441
5.91278076,-52.95287323
6.10351562,-52.29444504
6.29425049,-59.16879272
6.48498535,-61.07406616
6.67572021,-57.99450684
6.86645508,-63.90888214
7.05718994,-51.82582855
7.24792480,-49.02338028
7.43865967,-49.69283676
7.62939453,-51.57139587
7.82012939,-53.23992920
8.01086426,-52.58212662
8.20159912,-46.21362686
8.39233398,-47.91211700
8.58306885,-54.49859238
8.77380371,-48.00428009
8.96453857,-50.53014374
9.15527344,-57.38329315
9.34600830,-52.52319336
9.53674316,-50.00846100
9.72747803,-51.11235809
9.91821289,-46.92143250
10.10894775,-48.66922379
10.29968262,-52.23128891
10.49041748,-46.32063293
10.68115234,-49.14868164
10.87188721,-54.91390991
11.06262207,-48.66855621
11.25335693,-46.28845215
11.44409180,-48.90011597
11.63482666,-59.71947479
11.82556152,-53.23460388
12.01629639,-48.49578476
12.20703125,-50.36812592
12.39776611,-48.82310486
12.58850098,-45.58200455
12.77923584,-44.07945251
12.96997070,-46.68076324
13.16070557,-52.30980301
13.35144043,-55.58017731
13.54217529,-54.68006516
13.73291016,-50.53614807
13.92364502,-46.53642654
14.11437988,-47.88732147
14.30511475,-63.24088287
14.49584961,-51.58531570
14.68658447,-49.87512589
14.87731934,-46.23771667
15.06805420,-47.62661743
15.25878906,-51.97306061
15.44952393,-55.51377106
15.64025879,-50.51829529
15.83099365,-46.30583191
16.02172852,-47.52698517
16.21246338,-54.42462540
16.40319824,-77.86685181
16.59393311,-52.87603378
16.78466797,-48.55367279
16.97540283,-52.35908508
17.16613770,-57.39108276
17.35687256,-48.45088196
17.54760742,-49.90095139
17.73834229,-65.34133148
17.92907715,-65.32376862
18.11981201,-61.28011703
18.31054688,-52.57896042
18.50128174,-48.02861023
18.69201660,-49.48534012
18.88275146,-56.16080856
19.07348633,-71.18813324
19.26422119,-52.05659485
19.45495605,-49.87548065
19.64569092,-57.77371979
19.83642578,-60.76125717
20.02716064,-47.84906387
20.21789551,-45.22348022
20.40863037,-48.39430237
20.59936523,-52.04872131
20.79010010,-48.22363281
20.98083496,-46.57955551
21.17156982,-49.41794586
21.36230469,-51.31782150
21.55303955,-59.07411957
21.74377441,-56.32104874
21.93450928,-54.76936340
22.12524414,-53.12845612
22.31597900,-53.84945679
22.50671387,-59.13955307
22.69744873,-57.01898193
22.88818359,-51.64587402
23.07891846,-48.76986694
23.26965332,-53.50249481
23.46038818,-58.78504181
23.65112305,-54.32183075
23.84185791,-55.93519211
24.03259277,-68.82605743
24.22332764,-63.81476593
24.41406250,-48.81018829
24.60479736,-46.90050507
24.79553223,-57.86460114
24.98626709,-53.04040909
25.17700195,-52.26581573
25.36773682,-55.66920853
25.55847168,-71.58867645
25.74920654,-61.98694229
25.93994141,-52.84952164
26.13067627,-50.36994171
26.32141113,-50.11196518
26.51214600,-53.33982849
26.70288086,-50.95446014
26.89361572,-54.45749664
27.08435059,-53.34359741
27.27508545,-49.62360764
27.46582031,-50.81840897
27.65655518,-55.23450851
27.84729004,-54.82952118
28.03802490,-49.58064270
28.22875977,-52.90826797
28.41949463,-55.86329651
28.61022949,-54.71336746
28.80096436,-61.48670197
28.99169922,-50.44063568
29.18243408,-51.32197952
29.37316895,-54.34962463
29.56390381,-54.72311020
29.75463867,-58.75991440
29.94537354,-64.32658386
30.13610840,-52.79285812
30.32684326,-60.30295944
30.51757812,-51.49181366
30.70831299,-50.85125351
30.89904785,-58.29725647
31.08978271,-62.02545547
31.28051758,-64.06288910
31.47125244,-65.01251984
31.66198730,-64.53768158
31.85272217,-56.97003937
32.04345703,-61.19096756
32.23419189,-61.91189194
32.42492676,-57.62100220
32.61566162,-54.71822357
32.80639648,-55.97027588
32.99713135,-57.86140442
33.18786621,-57.29045486
33.37860107,-54.27853012
33.56933594,-55.40328979
33.76007080,-55.72196198
33.95080566,-52.19424820
34.14154053,-53.72779846
34.33227539,-56.47037125
34.52301025,-57.53356552
34.71374512,-56.98617935
34.90447998,-53.43124771
35.09521484,-47.73894882
35.28594971,-48.15937424
35.47668457,-52.67372894
35.66741943,-56.38463593
35.85815430,-55.13103104
36.04888916,-59.88404846
36.23962402,-55.94945526
36.43035889,-52.30478668
36.62109375,-53.67168808
36.81182861,-51.19436646
37.00256348,-50.98991394
37.19329834,-52.66739655
37.38403320,-54.67348480
37.57476807,-65.90699768
37.76550293,-54.30759048
37.95623779,-50.63253784
38.14697266,-51.60186005
38.33770752,-53.40235138
38.52844238,-64.69211578
38.71917725,-55.82980347
38.90991211,-51.00681305
39.10064697,-54.15626526
39.29138184,-49.49794769
39.48211670,-45.19962311
39.67285156,-50.22987366
39.86358643,-57.32691956
40.05432129,-49.43036652
40.24505615,-54.75128555
40.43579102,-53.58774185
40.62652588,-46.15932083
40.81726074,-44.48724747
41.00799561,-45.74050903
41.19873047,-45.71372604
41.38946533,-47.46141815
41.58020020,-64.25104523
41.77093506,-49.27684402
41.96166992,-45.73470688
