Time,Channel A
(ms),(V)

-0.00170700,2.09967351
-0.00106700,1.92327642
-0.00042700,1.57048249
0.00021300,1.21829891
0.00085300,1.04190195
0.00149300,0.68971831
0.00213300,0.51332134
0.00277300,0.16052736
0.00341300,-0.19104587
0.00405300,-0.36744285
0.00469300,-0.72023684
0.00533300,-1.07242048
0.00597300,-1.24881744
0.00661300,-1.60100102
0.00725300,-1.77739799
0.00789300,-2.13019204
0.00853300,-2.48237562
0.00917300,-2.65877247
0.00981300,-3.01095605
0.01045300,-3.18735313
0.01109300,-3.36375022
0.01173300,-3.71593380
0.01237300,-3.89233065
0.01301300,-4.24512482
0.01365300,-4.42091131
0.01429300,-4.77370548
0.01493300,-5.12588882
0.01557300,-5.30228567
0.01621300,-5.47868299
0.01685300,-5.83086634
0.01749300,-6.00726318
0.01813300,-6.00726318
0.01877300,-6.36005735
0.01941300,-6.53584385
0.02005300,-6.88863802
0.02069300,-6.88863802
0.02133300,-7.24082136
0.02197300,-7.41721869
0.02261300,-7.59361553
0.02325300,-7.59361553
0.02389300,-7.94579935
0.02453300,-7.94579935
0.02517300,-8.12219620
0.02581300,-8.29859352
0.02645300,-8.29859352
0.02709300,-8.65077686
0.02773300,-8.65077686
0.02837300,-8.82717323
0.02901300,-8.82717323
0.02965300,-8.82717323
0.03029300,-9.00357056
0.03093300,-9.00357056
0.03157300,-9.17996788
0.03221300,-9.17996788
0.03285300,-9.35575390
0.03349300,-9.35575390
0.03413300,-9.35575390
0.03477300,-9.35575390
0.03541300,-9.35575390
0.03605300,-9.35575390
0.03669300,-9.35575390
0.03733300,-9.35575390
0.03797300,-9.35575390
0.03861300,-9.35575390
0.03925300,-9.35575390
0.03989300,-9.35575390
0.04053300,-9.35575390
0.04117300,-9.17996788
0.04181300,-9.17996788
0.04245300,-9.17996788
0.04309300,-9.00357056
0.04373300,-9.00357056
0.04437300,-8.82717323
0.04501300,-8.65077686
0.04565300,-8.65077686
0.04629300,-8.65077686
0.04693300,-8.47498989
0.04757300,-8.29859352
0.04821300,-8.12219620
0.04885300,-7.94579935
0.04949300,-7.77001238
0.05013300,-7.59361553
0.05077300,-7.59361553
0.05141300,-7.24082136
0.05205300,-7.24082136
0.05269300,-7.06503487
0.05333300,-6.71224117
0.05397300,-6.53584385
0.05461300,-6.36005735
0.05525300,-6.18366051
0.05589300,-6.00726318
0.05653300,-5.83086634
0.05717300,-5.47868299
0.05781300,-5.30228567
0.05845300,-5.12588882
0.05909300,-4.59730816
0.05973300,-4.42091131
0.06037300,-4.24512482
0.06101300,-3.89233065
0.06165300,-3.71593380
0.06229300,-3.54014707
0.06293300,-3.18735313
0.06357300,-3.01095605
0.06421300,-2.65877247
0.06485300,-2.48237562
0.06549300,-2.30597854
0.06613300,-1.95379496
0.06677300,-1.60100102
0.06741300,-1.42521441
0.06805300,-1.07242048
0.06869300,-0.89602345
0.06933300,-0.54383981
0.06997300,-0.36744285
0.07061300,-0.01525925
0.07125300,0.33692434
0.07189300,0.51332134
0.07253300,0.86550492
0.07317300,1.04190195
0.07381300,1.39469588
